fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date,fund_code,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,master_match_method,master_matched_on,snapshot_date,month_label,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh,source_file,price_match_method,price_matched_on
111,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GCHNA,Equity Fund - Greater China Equity Fund,股票基金 - 大中華股票基金,Greater China Equity Fund,大中華股票基金,,2004-12-01,AIA-PV-GCEFD,"21,443.51",6,1.67160,34.38,15.61,-5.76,-22.98,-7.15,en_exact,scheme_en + fund_en,2026-04-30,April 2026,412.93,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
106,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Green Fund,綠色退休基金,,2006-03-31,AIA-PV-GNFDDD,"8,692.71",5,1.40513,18.43,17.29,22.90,-18.79,21.87,en_exact,scheme_en + fund_en,2026-04-30,April 2026,392.4,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
120,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,Growth Portfolio,增長組合,,2000-12-01,AIA-PV-GWPFFF,"18,429.21",5,1.66770,25.23,10.20,6.98,-16.80,3.71,en_exact,scheme_en + fund_en,2026-04-30,April 2026,414.95,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
118,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,GUAR,Guaranteed Fund,保證基金,Guaranteed Portfolio,保證組合,,2000-12-01,AIA-PV-GUPFFF,"10,738.46",1,1.55718,1.60,1.13,0.23,0.15,0.15,en_exact,scheme_en + fund_en,2026-04-30,April 2026,,,,1.0,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
103,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong and China Fund,中港基金,,2011-09-23,AIA-PV-HKCFD,"6,351.45",6,0.77514,30.16,21.81,-11.15,-13.38,-13.64,en_exact,scheme_en + fund_en,2026-04-30,April 2026,183.67,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
117,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,MPF Conservative Fund,強積金保守基金,,2000-12-01,AIA-PV-CVFDDD,"11,280.65",1,0.77701,2.15,3.23,3.08,0.66,0.11,en_exact,scheme_en + fund_en,2026-04-30,April 2026,125.93,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
109,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Manager's Choice Fund,基金經理精選退休基金,,2008-08-01,AIA-PV-MGSFDD,"5,510.97",4,1.46266,16.16,5.16,4.60,-16.37,2.76,en_exact,scheme_en + fund_en,2026-04-30,April 2026,240.98,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
114,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,North American Equity Fund,北美股票基金,,2002-01-01,AIA-PV-NAEFD,"13,258.00",5,1.67186,12.92,21.46,22.94,-17.73,27.16,en_exact,scheme_en + fund_en,2026-04-30,April 2026,548.62,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
108,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,World Fund,全球基金,,2007-12-01,AIA-PV-WDFDDD,"4,846.61",5,0.83946,20.55,15.48,20.17,-18.22,19.17,en_exact,scheme_en + fund_en,2026-04-30,April 2026,287.91,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1215,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,AMTD Allianz Choice Balanced Fund,AMTD 安聯精選均衡基金,,2009-07-10,BCT-AM-BLFDDD,71.25,4,1.21691,20.87,8.02,5.02,-15.76,2.15,en_exact,scheme_en + fund_en,2026-04-30,April 2026,23.0055,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1213,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,AMTD Allianz Choice Capital Stable Fund,AMTD 安聯精選穩定資本基金,,2009-07-10,BCT-AM-KPSTFD,43.78,4,1.21307,11.53,2.19,4.43,-14.43,-1.24,en_exact,scheme_en + fund_en,2026-04-30,April 2026,14.6814,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1212,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,AMTD Allianz Choice Dynamic Allocation Fund,AMTD 安聯精選靈活資產基金,,2009-07-10,BCT-AM-DYALFD,31.25,3,1.19388,8.77,3.16,3.53,-7.20,5.85,en_exact,scheme_en + fund_en,2026-04-30,April 2026,16.5277,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1216,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,AMTD Allianz Choice Growth Fund,AMTD 安聯精選增長基金,,2009-07-10,BCT-AM-GWFDDD,114.83,5,1.22173,25.59,11.01,5.52,-16.84,4.13,en_exact,scheme_en + fund_en,2026-04-30,April 2026,28.5042,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1214,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,AMTD Allianz Choice Stable Growth Fund,AMTD 安聯精選穩定增長基金,,2009-07-10,BCT-AM-STGWFD,97.75,4,1.19879,16.33,5.13,4.78,-15.48,0.26,en_exact,scheme_en + fund_en,2026-04-30,April 2026,18.4927,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1211,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,AMTD Invesco Age 65 Plus Fund,AMTD 景順65歲後基金,,2017-04-01,BCT-AM-A6PFD,28.91,4,0.86585,6.71,3.63,7.93,-14.86,0.58,en_exact,scheme_en + fund_en,2026-04-30,April 2026,12.4542,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1203,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,AMTD Invesco Asia Fund,AMTD 景順亞洲基金,,2009-07-10,BCT-AM-ASFDDD,74.73,5,1.28526,25.46,6.27,1.56,-22.81,-7.99,en_exact,scheme_en + fund_en,2026-04-30,April 2026,23.178,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1210,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,AMTD Invesco Core Accumulation Fund,AMTD 景順核心累積基金,,2017-04-01,BCT-AM-CRACFD,67.63,4,0.86864,15.40,10.81,15.70,-16.47,9.87,en_exact,scheme_en + fund_en,2026-04-30,April 2026,18.8466,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1204,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,AMTD Invesco Europe Fund,AMTD 景順歐洲基金,,2009-07-10,BCT-AM-EUFDDD,41.93,5,1.32799,30.73,-2.88,19.31,-12.62,17.32,en_exact,scheme_en + fund_en,2026-04-30,April 2026,27.0854,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1202,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,AMTD Invesco Global Bond Fund,AMTD 景順環球債券基金,,2009-07-10,BCT-AM-GLBDFD,45.52,4,1.28576,6.33,-1.30,5.72,-13.23,-4.22,en_exact,scheme_en + fund_en,2026-04-30,April 2026,10.8794,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1205,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,AMTD Invesco Hong Kong and China Fund,AMTD 景順香港中國基金,,2009-07-10,BCT-AM-HKCFD,159.76,6,1.20153,30.47,12.51,-19.75,-19.57,-18.49,en_exact,scheme_en + fund_en,2026-04-30,April 2026,14.7306,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1201,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,AMTD Invesco MPF Conservative Fund,AMTD 景順強積金保守基金,,2009-07-10,BCT-AM-CVFDDD,163.04,1,1.07379,1.91,3.13,2.63,0.30,0.00,en_exact,scheme_en + fund_en,2026-04-30,April 2026,11.0742,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1207,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,AMTD Invesco Target 2028 Retirement Fund,AMTD 景順目標2028退休基金,,2009-07-10,BCT-AM-T2RFD,25.47,4,1.56304,13.68,2.47,4.86,-15.10,-1.93,en_exact,scheme_en + fund_en,2026-04-30,April 2026,17.4798,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1208,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,AMTD Invesco Target 2038 Retirement Fund,AMTD 景順目標2038退休基金,,2009-07-10,BCT-AM-T3RFD,18.45,4,1.44876,17.29,4.40,4.68,-15.77,-1.04,en_exact,scheme_en + fund_en,2026-04-30,April 2026,20.8259,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1209,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,AMTD Invesco Target 2048 Retirement Fund,AMTD 景順目標2048退休基金,,2009-07-10,BCT-AM-T4RFD,17.50,5,1.50239,20.79,6.00,4.18,-16.77,-0.23,en_exact,scheme_en + fund_en,2026-04-30,April 2026,23.3706,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
1206,BCT,BCT,銀聯,AM,AMTD MPF Scheme,AMTD強積金計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,AMTD Invesco Target Retirement Now Fund,AMTD景順目標現在退休基金,,2009-07-10,BCT-AM-TRNFD,12.88,4,1.76868,12.01,1.32,4.80,-14.56,-2.88,en_exact,scheme_en + fund_en,2026-04-30,April 2026,15.3115,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
801,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,BCOM Age 65 Plus Fund,交通銀行65歲後基金,,2017-04-01,BCOM-JR-A6PFD,311.83,4,0.80352,7.12,3.84,8.47,-15.18,0.69,en_exact,scheme_en + fund_en,2026-04-30,April 2026,25.2097,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
802,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,BCOM Asian Dynamic Equity (CF) Fund,交通銀行亞洲動力股票成分基金,,2006-10-25,BCOM-JR-ADEFD,688.13,5,1.66070,19.97,9.44,4.62,-19.34,-2.82,en_exact,scheme_en + fund_en,2026-04-30,April 2026,54.9448,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
803,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,BCOM Balanced (CF) Fund,交通銀行均衡成分基金,,2006-01-10,BCOM-JR-BLFDDD,567.00,4,1.54952,19.00,5.85,4.54,-16.46,-0.01,en_exact,scheme_en + fund_en,2026-04-30,April 2026,25.8215,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
804,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_CHN,Equity Fund - China Equity Fund,股票基金 - 中國股票基金,BCOM China Dynamic Equity (CF) Fund,交通銀行中國動力股票成分基金,,2008-06-01,BCOM-JR-CDEFD,553.37,6,1.61505,30.36,17.53,-15.89,-27.08,-16.63,en_exact,scheme_en + fund_en,2026-04-30,April 2026,29.1103,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
805,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,BCOM Core Accumulation Fund,交通銀行核心累積基金,,2017-04-01,BCOM-JR-CRACFD,"1,044.87",4,0.80191,15.77,11.10,16.09,-16.58,10.02,en_exact,scheme_en + fund_en,2026-04-30,April 2026,38.0649,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
806,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,BCOM Dynamic Growth (CF) Fund,交通銀行動力增長成分基金,,2006-10-25,BCOM-JR-DYGWFD,545.06,5,1.60214,25.45,10.67,5.23,-17.09,3.62,en_exact,scheme_en + fund_en,2026-04-30,April 2026,49.1222,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
807,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,BCOM Global Bond (CF) Fund,交通銀行環球債券成分基金,,2010-11-15,BCOM-JR-GLBDFD,270.18,4,1.14956,6.07,-1.40,5.92,-12.98,-4.02,en_exact,scheme_en + fund_en,2026-04-30,April 2026,23.4416,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
808,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_GCHNA,Equity Fund - Greater China Equity Fund,股票基金 - 大中華股票基金,BCOM Greater China Equity (CF) Fund,交通銀行大中華股票成分基金,,2010-11-15,BCOM-JR-GCEFD,685.58,6,1.54498,37.11,12.05,-7.43,-23.18,-10.88,en_exact,scheme_en + fund_en,2026-04-30,April 2026,42.3601,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
809,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,GUAR,Guaranteed Fund,保證基金,BCOM Guaranteed (CF) Fund,交通銀行保證回報成分基金,,2000-12-01,BCOM-JR-GUFDDD,896.91,3,1.72174,9.41,5.00,2.76,-5.25,-2.43,en_exact,scheme_en + fund_en,2026-04-30,April 2026,15.2776,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
811,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_HK_IDX,Equity Fund - Hong Kong Equity Fund (Index Tracking),股票基金 - 香港股票基金（追蹤指數）,BCOM HSI ESG Tracking (CF) Fund,交通銀行恒指ESG成分基金,,2009-09-30,BCOM-JR-HETFD,612.09,6,0.95698,32.30,10.48,-15.51,-13.46,-12.63,en_exact,scheme_en + fund_en,2026-04-30,April 2026,29.2428,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
810,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,BCOM Hong Kong Dynamic Equity (CF) Fund,交通銀行香港動力股票成分基金,,2007-10-17,BCOM-JR-HKDFD,520.41,6,1.56437,34.67,14.90,-12.89,-21.26,-15.60,en_exact,scheme_en + fund_en,2026-04-30,April 2026,26.7715,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
812,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,BCOM MPF Conservative Fund,交通銀行強積金保守基金,,2000-12-01,BCOM-JR-CVFDDD,"1,788.26",1,0.93116,2.01,3.31,3.24,0.43,0.00,en_exact,scheme_en + fund_en,2026-04-30,April 2026,15.2598,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
813,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,BCOM North American Equity (CF) Fund,交通銀行北美股票成分基金,,2023-02-01,BCOM-JR-NAEFD,330.00,,1.06137,15.51,21.94,,,,en_exact,scheme_en + fund_en,2026-04-30,April 2026,16.7874,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
814,BCOM,BCOM,交銀,JR,BCOM Joyful Retirement MPF Scheme,交通銀行愉盈退休強積金計劃,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,BCOM Stable Growth (CF) Fund,交通銀行平穩增長成分基金,,2006-01-10,BCOM-JR-STGWFD,675.14,4,1.53999,14.88,2.66,3.97,-16.63,-1.63,en_exact,scheme_en + fund_en,2026-04-30,April 2026,20.2285,,,3a,"4b, 4d, 4e",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
538,BCT,BCT,銀聯,IC,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,,2017-04-01,BCT-IC-A6PFD,480.57,4,0.85349,7.08,3.81,8.40,-15.19,0.64,en_exact,scheme_en + fund_en,2026-04-30,April 2026,1.2579,,,3a,,consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
