month_key,date_text,filename,url,source
2024-03,2024-03,consolidated_list_for_mar_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_mar_24_read_only.xls,probed
2024-04,2024-04,consolidated_list_for_apr_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_apr_24_read_only.xls,probed
2024-05,2024-05,consolidated_list_for_may_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_may_24_read_only.xls,probed
2024-06,2024-06,consolidated_list_for_jun_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jun_24_read_only.xls,probed
2024-07,2024-07,consolidated_list_for_jul_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jul_24_read_only.xls,probed
2024-08,2024-08,consolidated_list_for_aug_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_aug_24_read_only.xls,probed
2024-09,2024-09,consolidated_list_for_sep_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_sep_24_read_only.xls,probed
2024-10,2024-10,consolidated_list_for_oct_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_oct_24_read_only.xls,probed
2024-11,2024-11,consolidated_list_for_nov_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_nov_24_read_only.xls,probed
2024-12,2024-12,consolidated_list_for_dec_24_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_dec_24_read_only.xls,probed
2025-01,2025-01,consolidated_list_for_jan_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jan_25_read_only.xls,probed
2025-02,2025-02,consolidated_list_for_feb_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_feb_25_read_only.xls,probed
2025-03,2025-03,consolidated_list_for_mar_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_mar_25_read_only.xls,probed
2025-04,2025-04,consolidated_list_for_apr_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_apr_25_read_only.xls,probed
2025-05,2025-05,consolidated_list_for_may_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_may_25_read_only.xls,probed
2025-06,2025-06,consolidated_list_for_jun_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jun_25_read_only.xls,probed
2025-07,2025-07,consolidated_list_for_jul_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jul_25_read_only.xls,probed
2025-08,2025-08,consolidated_list_for_aug_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_aug_25_read_only.xls,probed
2025-09,2025-09,consolidated_list_for_sep_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_sep_25_read_only.xls,probed
2025-10,2025-10,consolidated_list_for_oct_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_oct_25_read_only.xls,probed
2025-11,2025-11,consolidated_list_for_nov_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_nov_25_read_only.xls,probed
2025-12,2025-12,consolidated_list_for_dec_25_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_dec_25_read_only.xls,probed
2026-01,2026-01,consolidated_list_for_jan_26_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_jan_26_read_only.xls,probed
2026-02,2026-02,consolidated_list_for_feb_26_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_feb_26_read_only.xls,probed
2026-03,2026-03,consolidated_list_for_mar_26_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_mar_26_read_only.xls,probed
2026-04,2026-04,consolidated_list_for_apr_26_read_only.xls,https://www.mpfa.org.hk/-/media/files/information-centre/fund-information/monthly-fund-price/consolidated_list_for_apr_26_read_only.xls,probed
