fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
113,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,Asian Equity Fund,亞洲股票基金,,2004-12-01
114,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,North American Equity Fund,北美股票基金,,2002-01-01
115,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65歲後基金,,2017-04-01
116,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2017-04-01
117,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,MPF Conservative Fund,強積金保守基金,,2000-12-01
118,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,GUAR,Guaranteed Fund,保證基金,Guaranteed Portfolio,保證組合,,2000-12-01
119,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,Capital Stable Portfolio,穩定資本組合,,2000-12-01
120,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,Growth Portfolio,增長組合,,2000-12-01
201,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,Asia Pacific Equity Fund,亞太股票基金,,2000-12-01
202,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund (with de-risking nature),65歲後基金,,2009-10-08
203,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,Balanced Fund,均衡基金,,2000-12-01
204,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund (with de-risking nature),核心累積基金,,2000-12-01
205,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_CHN,Equity Fund - China Equity Fund,股票基金 - 中國股票基金,Chinese Equity Fund,中國股票基金,,2009-10-08
206,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,MPF Conservative Fund,強積金保守基金,,2000-12-01
207,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,European Equity Fund,歐洲股票基金,,2000-12-01
208,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65歲後基金,,2009-10-08
209,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,Global Bond Fund,環球債券基金,,2009-10-08
210,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Global Equity Fund,環球股票基金,,2019-07-01
211,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,Growth Fund,增長基金,,2000-12-01
212,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,GUAR,Guaranteed Fund,保證基金,Guaranteed Fund,保證基金,,2000-12-01
213,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong and Chinese Equity Fund,中港股票基金,,2000-12-01
214,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_CHN,Equity Fund - China Equity Fund,股票基金 - 中國股票基金,Hang Seng China Enterprises Index Tracking Fund,恒生中國企業指數基金,,2019-07-01
