scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,"3,670.22",4,0.77687,12.45,11.36,14.63,-15.96,9.54,東亞（強積金）行業計劃,東亞 (行業計劃) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,东亚（强积金）行业计划,东亚 (行业计划) 核心累积基金,东亚,混合资产基金 - 预设投资策略-核心累积基金,BEA-IS-SCAFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,2010-01-04,980.22,6,1.29682,35.56,15.67,-6.94,-26.93,-4.43,東亞（強積金）行業計劃,東亞 (行業計劃) 大中華股票基金,東亞,股票基金 - 大中華股票基金,东亚（强积金）行业计划,"东亚 (行业计划) 大中华股票基金
",东亚,股票基金 - 大中华股票基金,BEA-IS-SGCFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,2000-12-01,"3,888.95",5,1.37183,19.60,8.48,5.62,-18.05,1.12,東亞（強積金）行業計劃,東亞 (行業計劃) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票,东亚（强积金）行业计划,"东亚 (行业计划) 增长基金
",东亚,混合资产基金 - 61% to 80% 股票,BEA-IS-SCGWFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Hong Kong Equity Fund,BEA,Equity Fund - Hong Kong Equity Fund,2010-01-04,765.37,7,1.27899,34.21,16.63,-15.36,-24.51,-15.66,東亞（強積金）行業計劃,東亞 (行業計劃) 香港股票基金,東亞,股票基金 - 香港股票基金,东亚（强积金）行业计划,"东亚 (行业计划) 香港股票基金
",东亚,股票基金 - 香港股票基金,BEA-IS-SHKFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) MPF Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,2000-12-01,"3,986.72",1,0.80767,1.92,3.41,3.42,0.35,0.01,東亞（強積金）行業計劃,東亞 (行業計劃) 強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金,东亚（强积金）行业计划,"东亚 (行业计划) 强积金保守基金
",东亚,货币市场基金 — 强积金保守基金,BEA-IS-SCCVFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) RMB & HKD Money Market Fund,BEA,Money Market Fund - Other than MPF Conservative Fund,2012-07-03,256.40,3,0.79088,4.30,0.14,1.10,-4.05,2.56,東亞（強積金）行業計劃,東亞 (行業計劃) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金,东亚（强积金）行业计划,"东亚 (行业计划) 人民币及港币货币市场基金
",东亚,货币市场基金 — 不包括强积金保守基金,BEA-IS-SRHFD
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,2000-12-01,"3,023.39",4,1.31067,10.11,2.09,4.49,-15.95,-2.33,東亞（強積金）行業計劃,東亞 (行業計劃) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,东亚（强积金）行业计划,"东亚 (行业计划) 平稳基金
",东亚,混合资产基金 - 21% to 40% 股票,BEA-IS-SCSTFD
BEA (MPF) Industry Scheme,BEA China Tracker Fund,BEA,Equity Fund - China Equity Fund,2012-01-31,175.47,7,1.17257,24.59,29.45,-12.35,-16.54,-22.11,東亞（強積金）行業計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金,东亚（强积金）行业计划,"东亚中国追踪指数基金
",东亚,股票基金 - 中国股票基金,BEA-IS-CNTKFD
BEA (MPF) Industry Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),2012-01-31,205.52,7,0.58317,30.51,21.97,-10.92,-12.99,-12.36,東亞（強積金）行業計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,东亚（强积金）行业计划,东亚香港追踪指数基金,东亚,股票基金 - 香港股票基金（追踪指数）,BEA-IS-HKTFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Age 65 Plus Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,"1,039.25",4,0.78021,5.95,3.42,7.59,-14.35,0.96,東亞（強積金）集成信託計劃,東亞 (強積金) 65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金,东亚（强积金）集成信托计划,"东亚 (强积金) 65岁后基金
",东亚,混合资产基金 - 预设投资策略-65岁后基金,BEA-MT-A6PFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,2005-09-01,"1,524.02",5,1.31850,33.60,14.26,4.82,-24.86,-0.17,東亞（強積金）集成信託計劃,東亞(強積金)亞洲股票基金,東亞,股票基金 - 亞洲股票基金,东亚（强积金）集成信托计划,"东亚(强积金)亚洲股票基金
",东亚,股票基金 - 亚洲股票基金,BEA-MT-ASEQFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,2000-12-01,"1,840.89",4,1.34166,14.72,5.31,5.18,-17.30,-0.66,東亞（強積金）集成信託計劃,東亞 (強積金) 均衡基金,東亞,混合資產基金 - 41% 至 60% 股票,东亚（强积金）集成信托计划,"东亚 (强积金) 均衡基金
",东亚,混合资产基金 - 41% to 60% 股票,BEA-MT-BLFDDD
BEA (MPF) Master Trust Scheme,BEA (MPF) Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,2000-12-01,"1,833.31",1,0.80857,1.94,3.38,3.40,0.35,-0.01,東亞（強積金）集成信託計劃,東亞 (強積金) 保守基金,東亞,貨幣市場基金 — 強積金保守基金,东亚（强积金）集成信托计划,"东亚 (强积金) 保守基金
",东亚,货币市场基金 — 强积金保守基金,BEA-MT-CVFDDD
BEA (MPF) Master Trust Scheme,BEA (MPF) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,"1,207.65",4,0.77948,12.45,11.35,14.64,-15.96,9.54,東亞（強積金）集成信託計劃,東亞 (強積金) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,东亚（强积金）集成信托计划,"东亚 (强积金) 核心累积基金
",东亚,混合资产基金 - 预设投资策略-核心累积基金,BEA-MT-CRACFD
BEA (MPF) Master Trust Scheme,BEA (MPF) European Equity Fund,BEA,Equity Fund - Europe Equity Fund,2010-01-04,206.11,5,1.39690,28.40,1.61,15.56,-13.75,14.37,東亞（強積金）集成信託計劃,東亞 (強積金) 歐洲股票基金,東亞,股票基金 - 歐洲股票基金,东亚（强积金）集成信托计划,"东亚 (强积金) 欧洲股票基金
",东亚,股票基金 - 欧洲股票基金,BEA-MT-EUEQFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Global Bond Fund,BEA,Bond Fund - Global Bond Fund,2005-09-01,356.18,4,1.05130,4.67,-2.70,3.85,-15.72,-5.43,東亞（強積金）集成信託計劃,東亞(強積金)環球債券基金,東亞,債券基金 - 環球債券基金,东亚（强积金）集成信托计划,"东亚(强积金)环球债券基金
",东亚,债券基金 - 环球债券基金,BEA-MT-GLBDFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Global Equity Fund,BEA,Equity Fund - Global Equity Fund,2010-01-04,732.81,5,1.25072,18.21,18.07,20.67,-17.95,17.68,東亞（強積金）集成信託計劃,東亞 (強積金) 環球股票基金,東亞,股票基金 - 環球股票基金,东亚（强积金）集成信托计划,"东亚 (强积金) 环球股票基金
",东亚,股票基金 - 环球股票基金,BEA-MT-GLEQFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,2006-12-01,"1,838.34",6,1.28586,35.62,16.30,-7.27,-26.84,-5.63,東亞（強積金）集成信託計劃,東亞 (強積金) 大中華股票基金,東亞,股票基金 - 大中華股票基金,东亚（强积金）集成信托计划,"东亚 (强积金) 大中华股票基金
",东亚,股票基金 - 大中华股票基金,BEA-MT-GCEFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,2000-12-01,"3,910.12",5,1.37488,19.65,8.53,5.64,-18.12,1.10,東亞（強積金）集成信託計劃,東亞 (強積金) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票,东亚（强积金）集成信托计划,"东亚 (强积金) 增长基金
",东亚,混合资产基金 - 61% to 80% 股票,BEA-MT-GWFDDD
BEA (MPF) Master Trust Scheme,BEA (MPF) Hong Kong Equity Fund,BEA,Equity Fund - Hong Kong Equity Fund,2005-09-01,"1,032.81",7,1.28325,34.19,16.65,-15.53,-24.51,-15.76,東亞（強積金）集成信託計劃,東亞(強積金)香港股票基金,東亞,股票基金 - 香港股票基金,东亚（强积金）集成信托计划,"东亚(强积金)香港股票基金
",东亚,股票基金 - 香港股票基金,BEA-MT-HKEFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Japan Equity Fund,BEA,Equity Fund - Japan Equity Fund,2006-12-01,224.40,5,1.35966,23.71,13.77,21.72,-14.10,3.89,東亞（強積金）集成信託計劃,東亞(強積金)日本股票基金,東亞,股票基金 - 日本股票基金,东亚（强积金）集成信托计划,"东亚(强积金)日本股票基金
",东亚,股票基金 - 日本股票基金,BEA-MT-JPEQFD
BEA (MPF) Master Trust Scheme,BEA (MPF) North American Equity Fund,BEA,Equity Fund - United States Equity Fund,2012-01-31,"1,143.21",5,1.24901,16.82,20.50,23.07,-19.33,26.17,東亞（強積金）集成信託計劃,東亞 (強積金) 北美股票基金,東亞,股票基金 - 美國股票基金,东亚（强积金）集成信托计划,"东亚 (强积金) 北美股票基金
",东亚,股票基金 - 美国股票基金,BEA-MT-NAEFD
BEA (MPF) Master Trust Scheme,BEA (MPF) RMB & HKD Money Market Fund,BEA,Money Market Fund - Other than MPF Conservative Fund,2012-07-03,184.56,3,0.79543,4.19,0.43,1.17,-4.15,2.66,東亞（強積金）集成信託計劃,東亞 (強積金) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金,东亚（强积金）集成信托计划,"东亚 (强积金) 人民币及港币货币市场基金
",东亚,货币市场基金 — 不包括强积金保守基金,BEA-MT-RHMFD
BEA (MPF) Master Trust Scheme,BEA (MPF) Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,2000-12-01,"1,866.20",4,1.31468,10.11,2.08,4.49,-16.00,-2.33,東亞（強積金）集成信託計劃,東亞 (強積金) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,东亚（强积金）集成信托计划,"东亚 (强积金) 平稳基金
",东亚,混合资产基金 - 21% to 40% 股票,BEA-MT-STFDDD
BEA (MPF) Master Trust Scheme,BEA China Tracker Fund,BEA,Equity Fund - China Equity Fund,2012-01-31,170.41,7,1.19223,24.49,29.29,-12.44,-16.58,-22.21,東亞（強積金）集成信託計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金,东亚（强积金）集成信托计划,"东亚中国追踪指数基金
",东亚,股票基金 - 中国股票基金,BEA-MT-CNTKFD
BEA (MPF) Master Trust Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),2012-01-31,340.93,7,0.59660,30.54,21.80,-10.97,-13.11,-12.43,東亞（強積金）集成信託計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,东亚（强积金）集成信托计划,"东亚香港追踪指数基金
",东亚,股票基金 - 香港股票基金（追踪指数）,BEA-MT-HKTFD
BEA (MPF) Value Scheme,BEA Age 65 Plus Fund ,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,12.76,4,0.84302,5.92,3.31,7.51,-14.39,0.82,東亞（強積金）享惠計劃,東亞65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金,东亚（强积金）享惠计划,"东亚65岁后基金
",东亚,混合资产基金 - 预设投资策略-65岁后基金,BEA-VS-A6PFD
BEA (MPF) Value Scheme,BEA Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,2012-10-25,17.09,5,0.97668,34.32,13.23,4.82,-24.21,-4.33,東亞（強積金）享惠計劃,東亞亞洲股票基金,東亞,股票基金 - 亞洲股票基金,东亚（强积金）享惠计划,"东亚亚洲股票基金
",东亚,股票基金 - 亚洲股票基金,BEA-VS-ASEQFD
BEA (MPF) Value Scheme,BEA Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,2012-10-25,20.24,4,0.96420,16.92,6.39,6.45,-17.54,0.76,東亞（強積金）享惠計劃,東亞均衡基金,東亞,混合資產基金 - 41% 至 60% 股票,东亚（强积金）享惠计划,"东亚均衡基金
",东亚,混合资产基金 - 41% to 60% 股票,BEA-VS-BLFDDD
BEA (MPF) Value Scheme,BEA Core Accumulation Fund ,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,33.53,4,0.82147,12.38,11.31,14.58,-16.00,9.45,東亞（強積金）享惠計劃,東亞核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,东亚（强积金）享惠计划,"东亚核心累积基金
",东亚,混合资产基金 - 预设投资策略-核心累积基金,BEA-VS-CRACFD
BEA (MPF) Value Scheme,BEA Global Bond Fund,BEA,Bond Fund - Global Bond Fund,2012-10-25,8.90,4,0.92715,4.56,-3.39,3.72,-16.28,-5.92,東亞（強積金）享惠計劃,東亞環球債券基金,東亞,債券基金 - 環球債券基金,东亚（强积金）享惠计划,"东亚环球债券基金
",东亚,债券基金 - 环球债券基金,BEA-VS-GLBDFD
BEA (MPF) Value Scheme,BEA Global Equity Fund,BEA,Equity Fund - Global Equity Fund,2012-10-25,34.94,5,0.95234,18.19,18.59,21.00,-17.78,17.94,東亞（強積金）享惠計劃,東亞環球股票基金,東亞,股票基金 - 環球股票基金,东亚（强积金）享惠计划,"东亚环球股票基金
",东亚,股票基金 - 环球股票基金,BEA-VS-GLEQFD
BEA (MPF) Value Scheme,BEA Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,2012-10-25,34.51,6,0.96335,36.54,16.15,-6.61,-26.34,-3.90,東亞（強積金）享惠計劃,東亞大中華股票基金,東亞,股票基金 - 大中華股票基金,东亚（强积金）享惠计划,"东亚大中华股票基金
",东亚,股票基金 - 大中华股票基金,BEA-VS-GCEFD
BEA (MPF) Value Scheme,BEA Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,2012-10-25,29.93,5,0.97939,22.07,9.74,7.24,-18.74,2.99,東亞（強積金）享惠計劃,東亞增長基金,東亞,混合資產基金 - 61% 至 80% 股票,东亚（强积金）享惠计划,"东亚增长基金
",东亚,混合资产基金 - 61% to 80% 股票,BEA-VS-GWFDDD
BEA (MPF) Value Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),2012-10-25,23.53,7,0.69026,30.30,21.59,-11.12,-13.30,-12.59,東亞（強積金）享惠計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,东亚（强积金）享惠计划,东亚香港追踪指数基金,东亚,股票基金 - 香港股票基金（追踪指数）,BEA-VS-HKTFD
BEA (MPF) Value Scheme,BEA MPF Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,2012-10-25,30.93,1,0.78556,1.85,3.45,3.49,0.35,0.02,東亞（強積金）享惠計劃,東亞強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金,东亚（强积金）享惠计划,"东亚强积金保守基金
",东亚,货币市场基金 — 强积金保守基金,BEA-VS-CVFDDD
BEA (MPF) Value Scheme,BEA Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,2012-10-25,14.22,4,0.95500,12.11,3.05,5.67,-16.27,-1.38,東亞（強積金）享惠計劃,東亞平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,东亚（强积金）享惠计划,"东亚平稳基金
",东亚,混合资产基金 - 21% to 40% 股票,BEA-VS-STFDDD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Age 65 Plus Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,"2,094.08",4,0.76799,5.83,3.51,7.44,-14.69,1.06,中銀保誠簡易強積金計劃,中銀保誠65歲後基金,中銀保誠,混合資產基金 - 預設投資策略-65歲後基金,中银保诚简易强积金计划,"中银保诚65岁后基金
",中银保诚,混合资产基金 - 预设投资策略-65岁后基金,BOCI-EC-A6PFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Asia Equity Fund,BOCIP,Equity Fund - Asia Equity Fund,2006-10-03,"5,194.64",5,1.70266,28.23,10.12,5.00,-16.96,0.22,中銀保誠簡易強積金計劃,中銀保誠亞洲股票基金,中銀保誠,股票基金 - 亞洲股票基金,中银保诚简易强积金计划,"中银保诚亚洲股票基金
",中银保诚,股票基金 - 亚洲股票基金,BOCI-EC-ASEQFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Balanced Fund,BOCIP,Mixed Assets Fund - 41% to 60% Equity,2000-12-13,"8,046.79",4,1.67227,16.69,3.81,5.60,-15.58,0.48,中銀保誠簡易強積金計劃,中銀保誠均衡基金,中銀保誠,混合資產基金 - 41% 至 60% 股票,中银保诚简易强积金计划,"中银保诚均衡基金
",中银保诚,混合资产基金 - 41% to 60% 股票,BOCI-EC-BLFDDD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Bond Fund,BOCIP,Bond Fund - Global Bond Fund,2003-04-15,"3,120.39",4,1.51145,5.16,-2.66,3.61,-16.70,-5.57,中銀保誠簡易強積金計劃,中銀保誠債券基金,中銀保誠,債券基金 - 環球債券基金,中银保诚简易强积金计划,"中银保诚债券基金
",中银保诚,债券基金 - 环球债券基金,BOCI-EC-BDFDDD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential China Equity Fund,BOCIP,Equity Fund - China Equity Fund,2007-10-15,"8,637.59",7,1.74670,30.47,19.65,-16.27,-21.49,-16.17,中銀保誠簡易強積金計劃,中銀保誠中國股票基金,中銀保誠,股票基金 - 中國股票基金,中银保诚简易强积金计划,"中银保诚中国股票基金
",中银保诚,股票基金 - 中国股票基金,BOCI-EC-CNEQFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Core Accumulation Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,"7,759.75",4,0.75807,13.89,9.73,14.39,-15.96,9.66,中銀保誠簡易強積金計劃,中銀保誠核心累積基金,中銀保誠,混合資產基金 - 預設投資策略-核心累積基金,中银保诚简易强积金计划,"中银保诚核心累积基金
",中银保诚,混合资产基金 - 预设投资策略-核心累积基金,BOCI-EC-CRACFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential CSI HK 100 Tracker Fund,BOCIP,Equity Fund - Hong Kong Equity Fund (Index Tracking),2012-09-03,"2,566.87",7,1.14744,32.44,20.54,-11.13,-16.43,-14.81,中銀保誠簡易強積金計劃,中銀保誠中證香港100指數基金,中銀保誠,股票基金 - 香港股票基金（追蹤指數）,中银保诚简易强积金计划,"中银保诚中证香港100指数基金
",中银保诚,股票基金 - 香港股票基金（追踪指数）,BOCI-EC-CH1FD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential European Index Tracking Fund,BOCIP,Equity Fund - Europe Equity Fund,2012-09-03,"1,909.04",5,1.04393,29.27,2.80,17.42,-13.32,17.62,中銀保誠簡易強積金計劃,中銀保誠歐洲指數追蹤基金,中銀保誠,股票基金 - 歐洲股票基金,中银保诚简易强积金计划,"中银保诚欧洲指数追踪基金
",中银保诚,股票基金 - 欧洲股票基金,BOCI-EC-EITFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Global Equity Fund,BOCIP,Equity Fund - Global Equity Fund,2003-04-15,"11,153.98",5,1.67957,19.77,15.06,19.93,-17.89,18.08,中銀保誠簡易強積金計劃,中銀保誠環球股票基金,中銀保誠,股票基金 - 環球股票基金,中银保诚简易强积金计划,"中银保诚环球股票基金
",中银保诚,股票基金 - 环球股票基金,BOCI-EC-GLEQFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Growth Fund,BOCIP,Mixed Assets Fund - 81% to 100% Equity,2000-12-13,"16,674.53",5,1.68152,25.62,10.48,7.56,-16.06,4.54,中銀保誠簡易強積金計劃,中銀保誠增長基金,中銀保誠,混合資產基金 - 81% 至 100% 股票,中银保诚简易强积金计划,"中银保诚增长基金
",中银保诚,混合资产基金 - 81% to 100% 股票,BOCI-EC-GWFDDD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Hong Kong Equity Fund,BOCIP,Equity Fund - Hong Kong Equity Fund,2003-04-15,"12,510.21",7,1.67216,33.70,17.33,-12.64,-17.19,-15.50,中銀保誠簡易強積金計劃,中銀保誠香港股票基金,中銀保誠,股票基金 - 香港股票基金,中银保诚简易强积金计划,"中银保诚香港股票基金
",中银保诚,股票基金 - 香港股票基金,BOCI-EC-HKEFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Hong Kong Stable Retirement Fund,BOCIP,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2022-11-21,818.17,,1.41330,7.38,4.76,6.57,,,中銀保誠簡易強積金計劃,中銀保誠香港平穩退休基金,中銀保誠,混合資產基金 - 未分類混合資產基金,中银保诚简易强积金计划,"中银保诚香港平稳退休基金
",中银保诚,混合资产基金 - 未分类混合资产基金,BOCI-EC-HKSFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Japan Equity Fund,BOCIP,Equity Fund - Japan Equity Fund,2006-10-03,"1,860.65",4,1.66729,24.60,11.31,21.74,-13.00,3.14,中銀保誠簡易強積金計劃,中銀保誠日本股票基金,中銀保誠,股票基金 - 日本股票基金,中银保诚简易强积金计划,"中银保诚日本股票基金
",中银保诚,股票基金 - 日本股票基金,BOCI-EC-JPEQFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential MPF Conservative Fund,BOCIP,Money Market Fund - MPF Conservative Fund,2000-12-13,"14,972.07",1,0.81440,2.32,3.82,3.74,0.55,0.00,中銀保誠簡易強積金計劃,中銀保誠強積金保守基金,中銀保誠,貨幣市場基金 — 強積金保守基金,中银保诚简易强积金计划,"中银保诚强积金保守基金
",中银保诚,货币市场基金 — 强积金保守基金,BOCI-EC-CVFDDD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential MPF RMB & HKD Money Market Fund,BOCIP,Money Market Fund - Other than MPF Conservative Fund,2013-04-02,"1,487.62",3,0.56050,4.86,1.02,1.43,-2.75,3.25,中銀保誠簡易強積金計劃,中銀保誠強積金人民幣及港元貨幣市場基金,中銀保誠,貨幣市場基金 — 不包括強積金保守基金,中银保诚简易强积金计划,"中银保诚强积金人民币及港元货币市场基金
",中银保诚,货币市场基金 — 不包括强积金保守基金,BOCI-EC-RHMFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential North America Index Tracking Fund,BOCIP,Equity Fund - United States Equity Fund,2012-09-03,"11,666.52",5,1.02335,16.49,21.90,24.30,-20.11,25.56,中銀保誠簡易強積金計劃,中銀保誠北美指數追蹤基金,中銀保誠,股票基金 - 美國股票基金,中银保诚简易强积金计划,"中银保诚北美指数追踪基金
",中银保诚,股票基金 - 美国股票基金,BOCI-EC-NAIFD
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Stable Fund,BOCIP,Mixed Assets Fund - 21% to 40% Equity,2000-12-13,"7,934.61",4,1.66675,11.94,0.76,4.71,-16.10,-1.95,中銀保誠簡易強積金計劃,中銀保誠平穩基金,中銀保誠,混合資產基金 - 21% 至 40% 股票,中银保诚简易强积金计划,"中银保诚平稳基金
",中银保诚,混合资产基金 - 21% to 40% 股票,BOCI-EC-STFDDD
China Life MPF Master Trust Scheme,China Life Age 65 Plus Fund,China Life,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,211.28,4,0.81915,7.10,3.85,8.47,-15.18,0.66,中國人壽強積金集成信託計劃,中國人壽65歲後基金,中國人壽,混合資產基金 - 預設投資策略-65歲後基金,中国人寿强积金集成信托计划,"中国人寿65岁后基金
",中国人寿,混合资产基金 - 预设投资策略-65岁后基金,CHNL-CL-CA6FD
China Life MPF Master Trust Scheme,China Life Balanced Fund,China Life,Mixed Assets Fund - 61% to 80% Equity,2000-12-01,503.48,5,1.36763,17.27,7.46,4.24,-19.56,0.11,中國人壽強積金集成信託計劃,中國人壽平衡基金,中國人壽,混合資產基金 - 61% 至 80% 股票,中国人寿强积金集成信托计划,"中国人寿平衡基金
",中国人寿,混合资产基金 - 61% to 80% 股票,CHNL-CL-CNBLFD
China Life MPF Master Trust Scheme,China Life Core Accumulation Fund,China Life,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,522.17,4,0.82106,15.80,11.05,16.07,-16.59,9.91,中國人壽強積金集成信託計劃,中國人壽核心累積基金,中國人壽,混合資產基金 - 預設投資策略-核心累積基金,中国人寿强积金集成信托计划,"中国人寿核心累积基金
",中国人寿,混合资产基金 - 预设投资策略-核心累积基金,CHNL-CL-CCAFD
China Life MPF Master Trust Scheme,China Life Greater China Equity Fund,China Life,Equity Fund - Greater China Equity Fund,2021-12-13,171.66,6,1.27199,33.54,13.11,-9.41,-26.83,,中國人壽強積金集成信託計劃,中國人壽大中華股票基金,中國人壽,股票基金 - 大中華股票基金,中国人寿强积金集成信托计划,"中国人寿大中华股票基金
",中国人寿,股票基金 - 大中华股票基金,CHNL-CL-CGCFD
China Life MPF Master Trust Scheme,China Life Growth Fund,China Life,Mixed Assets Fund - 81% to 100% Equity,2000-12-01,882.89,5,1.37224,20.62,10.28,4.50,-20.63,1.40,中國人壽強積金集成信託計劃,中國人壽增長基金,中國人壽,混合資產基金 - 81% 至 100% 股票,中国人寿强积金集成信托计划,"中国人寿增长基金
",中国人寿,混合资产基金 - 81% to 100% 股票,CHNL-CL-CNGWFD
China Life MPF Master Trust Scheme,China Life Hong Kong Equity Fund,China Life,Equity Fund - Hong Kong Equity Fund,2011-12-23,592.24,6,0.87615,30.39,18.04,-15.53,-18.49,-15.68,中國人壽強積金集成信託計劃,中國人壽香港股票基金,中國人壽,股票基金 - 香港股票基金,中国人寿强积金集成信托计划,"中国人寿香港股票基金
",中国人寿,股票基金 - 香港股票基金,CHNL-CL-CHKFD
China Life MPF Master Trust Scheme,China Life Joyful Retirement Guaranteed Fund,China Life,Guaranteed Fund,2007-10-01,"1,466.08",3,2.06681,6.18,3.57,3.51,-9.70,-2.50,中國人壽強積金集成信託計劃,中國人壽樂安心保證基金,中國人壽,保證基金,中国人寿强积金集成信托计划,"中国人寿乐安心保证基金
",中国人寿,保证基金,CHNL-CL-CJRFD
