scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
AIA MPF - Prime Value Choice,Hong Kong and China Fund,AIA,Equity Fund - Hong Kong Equity Fund,2011-09-23,"6,351.45",6,0.77514,30.16,21.81,-11.15,-13.38,-13.64,友邦強積金優選計劃,中港基金,友邦信託,股票基金 - 香港股票基金,友邦强积金优选计划,"中港基金
",友邦信托,股票基金 - 香港股票基金,AIA-PV-HKCFD
AIA MPF - Prime Value Choice,Manager's Choice Fund,AIA,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2008-08-01,"5,510.97",4,1.46266,16.16,5.16,4.60,-16.37,2.76,友邦強積金優選計劃,基金經理精選退休基金,友邦信託,混合資產基金 - 未分類混合資產基金,友邦强积金优选计划,"基金经理精选退休基金
",友邦信托,混合资产基金 - 未分类混合资产基金,AIA-PV-MGSFDD
AIA MPF - Prime Value Choice,MPF Conservative Fund,AIA,Money Market Fund - MPF Conservative Fund,2000-12-01,"11,280.65",1,0.77701,2.15,3.23,3.08,0.66,0.11,友邦強積金優選計劃,強積金保守基金,友邦信託,貨幣市場基金 — 強積金保守基金,友邦强积金优选计划,"强积金保守基金
",友邦信托,货币市场基金 — 强积金保守基金,AIA-PV-CVFDDD
AIA MPF - Prime Value Choice,North American Equity Fund,AIA,Equity Fund - United States Equity Fund,2002-01-01,"13,258.00",5,1.67186,12.92,21.46,22.94,-17.73,27.16,友邦強積金優選計劃,北美股票基金,友邦信託,股票基金 - 美國股票基金,友邦强积金优选计划,"北美股票基金
",友邦信托,股票基金 - 美国股票基金,AIA-PV-NAEFD
AIA MPF - Prime Value Choice,World Fund,AIA,Equity Fund - Global Equity Fund,2007-12-01,"4,846.61",5,0.83946,20.55,15.48,20.17,-18.22,19.17,友邦強積金優選計劃,全球基金,友邦信託,股票基金 - 環球股票基金,友邦强积金优选计划,"全球基金
",友邦信托,股票基金 - 环球股票基金,AIA-PV-WDFDDD
AMTD MPF Scheme,AMTD Allianz Choice Balanced Fund,BCT,Mixed Assets Fund - 61% to 80% Equity,2009-07-10,71.25,4,1.21691,20.87,8.02,5.02,-15.76,2.15,AMTD強積金計劃,AMTD 安聯精選均衡基金,銀聯信託,混合資產基金 - 61% 至 80% 股票,AMTD强积金计划,"AMTD 安联精选均衡基金
",银联信托,混合资产基金 - 61% to 80% 股票,BCT-AM-BLFDDD
AMTD MPF Scheme,AMTD Allianz Choice Capital Stable Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,2009-07-10,43.78,4,1.21307,11.53,2.19,4.43,-14.43,-1.24,AMTD強積金計劃,AMTD 安聯精選穩定資本基金,銀聯信託,混合資產基金 - 21% 至 40% 股票,AMTD强积金计划,"AMTD 安联精选稳定资本基金
",银联信托,混合资产基金 - 21% to 40% 股票,BCT-AM-KPSTFD
AMTD MPF Scheme,AMTD Allianz Choice Dynamic Allocation Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2009-07-10,31.25,3,1.19388,8.77,3.16,3.53,-7.20,5.85,AMTD強積金計劃,AMTD 安聯精選靈活資產基金,銀聯信託,混合資產基金 - 未分類混合資產基金,AMTD强积金计划,"AMTD 安联精选灵活资产基金
",银联信托,混合资产基金 - 未分类混合资产基金,BCT-AM-DYALFD
AMTD MPF Scheme,AMTD Allianz Choice Growth Fund,BCT,Mixed Assets Fund - 81% to 100% Equity,2009-07-10,114.83,5,1.22173,25.59,11.01,5.52,-16.84,4.13,AMTD強積金計劃,AMTD 安聯精選增長基金,銀聯信託,混合資產基金 - 81% 至 100% 股票,AMTD强积金计划,"AMTD 安联精选增长基金
",银联信托,混合资产基金 - 81% to 100% 股票,BCT-AM-GWFDDD
AMTD MPF Scheme,AMTD Allianz Choice Stable Growth Fund,BCT,Mixed Assets Fund - 41% to 60% Equity,2009-07-10,97.75,4,1.19879,16.33,5.13,4.78,-15.48,0.26,AMTD強積金計劃,AMTD 安聯精選穩定增長基金,銀聯信託,混合資產基金 - 41% 至 60% 股票,AMTD强积金计划,"AMTD 安联精选稳定增长基金
",银联信托,混合资产基金 - 41% to 60% 股票,BCT-AM-STGWFD
