scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
AMTD MPF Scheme,AMTD Invesco Target 2028 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,10-07-2009,25.47,4,1.56304,13.68,2.47,4.86,-15.10,-1.93
AMTD MPF Scheme,AMTD Invesco Target 2038 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,10-07-2009,18.45,4,1.44876,17.29,4.40,4.68,-15.77,-1.04
AMTD MPF Scheme,AMTD Invesco Target 2048 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,10-07-2009,17.50,5,1.50239,20.79,6.00,4.18,-16.77,-0.23
AMTD MPF Scheme,AMTD Invesco Target Retirement Now Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,10-07-2009,12.88,4,1.76868,12.01,1.32,4.80,-14.56,-2.88
BCOM Joyful Retirement MPF Scheme,BCOM Age 65 Plus Fund,BCOM,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,311.83,4,0.80352,7.12,3.84,8.47,-15.18,0.69
BCOM Joyful Retirement MPF Scheme,BCOM Asian Dynamic Equity (CF) Fund,BCOM,Equity Fund - Asia Equity Fund,25-10-2006,688.13,5,1.66070,19.97,9.44,4.62,-19.34,-2.82
BCOM Joyful Retirement MPF Scheme,BCOM Balanced (CF) Fund,BCOM,Mixed Assets Fund - 61% to 80% Equity,10-01-2006,567.00,4,1.54952,19.00,5.85,4.54,-16.46,-0.01
BCOM Joyful Retirement MPF Scheme,BCOM China Dynamic Equity (CF) Fund,BCOM,Equity Fund - China Equity Fund,01-06-2008,553.37,6,1.61505,30.36,17.53,-15.89,-27.08,-16.63
BCOM Joyful Retirement MPF Scheme,BCOM Core Accumulation Fund,BCOM,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"1,044.87",4,0.80191,15.77,11.10,16.09,-16.58,10.02
BCOM Joyful Retirement MPF Scheme,BCOM Dynamic Growth (CF) Fund,BCOM,Mixed Assets Fund - 81% to 100% Equity,25-10-2006,545.06,5,1.60214,25.45,10.67,5.23,-17.09,3.62
BCOM Joyful Retirement MPF Scheme,BCOM Global Bond (CF) Fund,BCOM,Bond Fund - Global Bond Fund,15-11-2010,270.18,4,1.14956,6.07,-1.40,5.92,-12.98,-4.02
BCOM Joyful Retirement MPF Scheme,BCOM Greater China Equity (CF) Fund,BCOM,Equity Fund - Greater China Equity Fund,15-11-2010,685.58,6,1.54498,37.11,12.05,-7.43,-23.18,-10.88
BCOM Joyful Retirement MPF Scheme,BCOM Guaranteed  (CF) Fund,BCOM,Guaranteed Fund,01-12-2000,896.91,3,1.72174,9.41,5.00,2.76,-5.25,-2.43
BCOM Joyful Retirement MPF Scheme,BCOM Hong Kong Dynamic Equity (CF) Fund,BCOM,Equity Fund - Hong Kong Equity Fund,17-10-2007,520.41,6,1.56437,34.67,14.90,-12.89,-21.26,-15.60
BCOM Joyful Retirement MPF Scheme,BCOM HSI ESG Tracking (CF) Fund,BCOM,Equity Fund - Hong Kong Equity Fund (Index Tracking),30-09-2009,612.09,6,0.95698,32.30,10.48,-15.51,-13.46,-12.63
BCOM Joyful Retirement MPF Scheme,BCOM MPF Conservative Fund,BCOM,Money Market Fund - MPF Conservative Fund,01-12-2000,"1,788.26",1,0.93116,2.01,3.31,3.24,0.43,0.00
BCOM Joyful Retirement MPF Scheme,BCOM North American Equity (CF) Fund,BCOM,Equity Fund - United States Equity Fund,01-02-2023,330.00,n.a.,1.06137,15.51,21.94,n.a.,n.a.,n.a.
BCOM Joyful Retirement MPF Scheme,BCOM Stable Growth (CF) Fund,BCOM,Mixed Assets Fund - 41% to 60% Equity,10-01-2006,675.14,4,1.53999,14.88,2.66,3.97,-16.63,-1.63
