scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc
永明彩虹强积金计划,"永明强积金香港股票基金
 - A类",永明,股票基金 - 香港股票基金
永明彩虹强积金计划,"永明强积金香港股票基金
 - B类",永明,股票基金 - 香港股票基金
永明彩虹强积金计划,"永明强积金收益基金
",永明,混合资产基金 - 未分类混合资产基金
永明彩虹强积金计划,"永明强积金行业股票基金
 - A类",永明,股票基金 - 环球股票基金
永明彩虹强积金计划,"永明强积金行业股票基金
 - B类",永明,股票基金 - 环球股票基金
永明彩虹强积金计划,"永明强积金人民币及港元基金
 - A类",永明,货币市场基金 — 不包括强积金保守基金
永明彩虹强积金计划,"永明强积金人民币及港元基金
 - B类",永明,货币市场基金 — 不包括强积金保守基金
永明彩虹强积金计划,"永明强积金平稳基金
 - A类",永明,混合资产基金 - 21% to 40% 股票
永明彩虹强积金计划,"永明强积金平稳基金
 - B类",永明,混合资产基金 - 21% to 40% 股票
永明彩虹强积金计划,永明强积金美国及香港股票基金,永明,股票基金 - 未分类股票基金
永明彩虹强积金计划,"永明强积金美国股票基金
",永明,股票基金 - 美国股票基金
