計劃,成分基金,受託人,基金類別,推出日期,基金規模百萬港元,風險級別,最近期基金開支比率,曆年回報_2025,曆年回報_2024,曆年回報_2023,曆年回報_2022,曆年回報_2021
東亞（強積金）享惠計劃,東亞環球股票基金,東亞,股票基金 - 環球股票基金,25-10-2012,34.94,5,0.95234,18.19,18.59,21.00,-17.78,17.94
東亞（強積金）享惠計劃,東亞大中華股票基金,東亞,股票基金 - 大中華股票基金,25-10-2012,34.51,6,0.96335,36.54,16.15,-6.61,-26.34,-3.90
東亞（強積金）享惠計劃,東亞增長基金,東亞,混合資產基金 - 61% 至 80% 股票,25-10-2012,29.93,5,0.97939,22.07,9.74,7.24,-18.74,2.99
東亞（強積金）享惠計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,25-10-2012,23.53,7,0.69026,30.30,21.59,-11.12,-13.30,-12.59
東亞（強積金）享惠計劃,東亞強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金,25-10-2012,30.93,1,0.78556,1.85,3.45,3.49,0.35,0.02
東亞（強積金）享惠計劃,東亞平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,25-10-2012,14.22,4,0.95500,12.11,3.05,5.67,-16.27,-1.38
中銀保誠簡易強積金計劃,中銀保誠65歲後基金,中銀保誠,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,"2,094.08",4,0.76799,5.83,3.51,7.44,-14.69,1.06
中銀保誠簡易強積金計劃,中銀保誠亞洲股票基金,中銀保誠,股票基金 - 亞洲股票基金,03-10-2006,"5,194.64",5,1.70266,28.23,10.12,5.00,-16.96,0.22
中銀保誠簡易強積金計劃,中銀保誠均衡基金,中銀保誠,混合資產基金 - 41% 至 60% 股票,13-12-2000,"8,046.79",4,1.67227,16.69,3.81,5.60,-15.58,0.48
中銀保誠簡易強積金計劃,中銀保誠債券基金,中銀保誠,債券基金 - 環球債券基金,15-04-2003,"3,120.39",4,1.51145,5.16,-2.66,3.61,-16.70,-5.57
中銀保誠簡易強積金計劃,中銀保誠中國股票基金,中銀保誠,股票基金 - 中國股票基金,15-10-2007,"8,637.59",7,1.74670,30.47,19.65,-16.27,-21.49,-16.17
中銀保誠簡易強積金計劃,中銀保誠核心累積基金,中銀保誠,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,"7,759.75",4,0.75807,13.89,9.73,14.39,-15.96,9.66
中銀保誠簡易強積金計劃,中銀保誠中證香港100指數基金,中銀保誠,股票基金 - 香港股票基金（追蹤指數）,03-09-2012,"2,566.87",7,1.14744,32.44,20.54,-11.13,-16.43,-14.81
中銀保誠簡易強積金計劃,中銀保誠歐洲指數追蹤基金,中銀保誠,股票基金 - 歐洲股票基金,03-09-2012,"1,909.04",5,1.04393,29.27,2.80,17.42,-13.32,17.62
中銀保誠簡易強積金計劃,中銀保誠環球股票基金,中銀保誠,股票基金 - 環球股票基金,15-04-2003,"11,153.98",5,1.67957,19.77,15.06,19.93,-17.89,18.08
中銀保誠簡易強積金計劃,中銀保誠增長基金,中銀保誠,混合資產基金 - 81% 至 100% 股票,13-12-2000,"16,674.53",5,1.68152,25.62,10.48,7.56,-16.06,4.54
中銀保誠簡易強積金計劃,中銀保誠香港股票基金,中銀保誠,股票基金 - 香港股票基金,15-04-2003,"12,510.21",7,1.67216,33.70,17.33,-12.64,-17.19,-15.50
中銀保誠簡易強積金計劃,中銀保誠香港平穩退休基金,中銀保誠,混合資產基金 - 未分類混合資產基金,21-11-2022,818.17,n.a.,1.41330,7.38,4.76,6.57,n.a.,n.a.
中銀保誠簡易強積金計劃,中銀保誠日本股票基金,中銀保誠,股票基金 - 日本股票基金,03-10-2006,"1,860.65",4,1.66729,24.60,11.31,21.74,-13.00,3.14
中銀保誠簡易強積金計劃,中銀保誠強積金保守基金,中銀保誠,貨幣市場基金 — 強積金保守基金,13-12-2000,"14,972.07",1,0.81440,2.32,3.82,3.74,0.55,0.00
中銀保誠簡易強積金計劃,中銀保誠強積金人民幣及港元貨幣市場基金,中銀保誠,貨幣市場基金 — 不包括強積金保守基金,02-04-2013,"1,487.62",3,0.56050,4.86,1.02,1.43,-2.75,3.25
中銀保誠簡易強積金計劃,中銀保誠北美指數追蹤基金,中銀保誠,股票基金 - 美國股票基金,03-09-2012,"11,666.52",5,1.02335,16.49,21.90,24.30,-20.11,25.56
中銀保誠簡易強積金計劃,中銀保誠平穩基金,中銀保誠,混合資產基金 - 21% 至 40% 股票,13-12-2000,"7,934.61",4,1.66675,11.94,0.76,4.71,-16.10,-1.95
中國人壽強積金集成信託計劃,中國人壽65歲後基金,中國人壽,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,211.28,4,0.81915,7.10,3.85,8.47,-15.18,0.66
中國人壽強積金集成信託計劃,中國人壽平衡基金,中國人壽,混合資產基金 - 61% 至 80% 股票,01-12-2000,503.48,5,1.36763,17.27,7.46,4.24,-19.56,0.11
中國人壽強積金集成信託計劃,中國人壽核心累積基金,中國人壽,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,522.17,4,0.82106,15.80,11.05,16.07,-16.59,9.91
中國人壽強積金集成信託計劃,中國人壽大中華股票基金,中國人壽,股票基金 - 大中華股票基金,13-12-2021,171.66,6,1.27199,33.54,13.11,-9.41,-26.83,n.a.
中國人壽強積金集成信託計劃,中國人壽增長基金,中國人壽,混合資產基金 - 81% 至 100% 股票,01-12-2000,882.89,5,1.37224,20.62,10.28,4.50,-20.63,1.40
中國人壽強積金集成信託計劃,中國人壽香港股票基金,中國人壽,股票基金 - 香港股票基金,23-12-2011,592.24,6,0.87615,30.39,18.04,-15.53,-18.49,-15.68
中國人壽強積金集成信託計劃,中國人壽樂安心保證基金,中國人壽,保證基金,01-10-2007,"1,466.08",3,2.06681,6.18,3.57,3.51,-9.70,-2.50
中國人壽強積金集成信託計劃,中國人壽強積金保守基金,中國人壽,貨幣市場基金 — 強積金保守基金,01-12-2000,657.08,1,0.90091,2.32,3.43,3.20,0.32,0.00
中國人壽強積金集成信託計劃,中國人壽樂休閒環球股票基金,中國人壽,股票基金 - 環球股票基金,01-10-2007,373.46,5,1.25177,15.32,15.79,34.98,-21.57,0.47
中國人壽強積金集成信託計劃,中國人壽美國股票基金,中國人壽,股票基金 - 美國股票基金,13-12-2021,282.93,5,0.89316,14.62,18.47,34.88,-33.04,n.a.
富達退休集成信託,65歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,"1,094.10",4,0.80442,5.17,3.42,7.28,-14.99,0.74
富達退休集成信託,美洲股票基金,HSBC,股票基金 - 美國股票基金,31-08-2023,"2,525.82",n.a.,1.39007,15.40,22.75,n.a.,n.a.,n.a.
富達退休集成信託,亞太股票基金,HSBC,股票基金 - 亞洲股票基金,07-08-2006,"6,480.66",5,1.54408,23.17,11.43,9.54,-21.62,-3.38
富達退休集成信託,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票,01-12-2000,"4,753.90",5,1.53260,17.01,7.26,4.19,-19.62,-0.01
富達退休集成信託,資本穩定基金,HSBC,混合資產基金 - 21% 至 40% 股票,01-12-2000,"2,007.99",4,1.52942,9.26,2.04,4.16,-17.94,-2.40
富達退休集成信託,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,"5,744.32",4,0.79169,13.29,9.70,14.03,-16.60,9.46
富達退休集成信託,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金,31-08-2023,239.15,n.a.,1.42899,19.78,-0.34,n.a.,n.a.,n.a.
富達退休集成信託,富達香港盈富基金,HSBC,股票基金 - 香港股票基金（追蹤指數）,28-06-2013,"2,607.85",6,0.74853,30.31,21.69,-11.08,-13.21,-12.52
富達退休集成信託,富達「儲蓄易」2025基金,HSBC,混合資產基金 - 未分類混合資產基金,27-10-2008,388.68,4,1.31493,10.03,4.33,4.32,-20.04,0.99
富達退休集成信託,富達「儲蓄易」2030基金,HSBC,混合資產基金 - 未分類混合資產基金,27-10-2008,673.61,5,1.56450,19.35,9.55,4.39,-20.58,1.10
富達退休集成信託,富達「儲蓄易」2035基金,HSBC,混合資產基金 - 未分類混合資產基金,27-10-2008,719.54,5,1.56536,20.87,10.50,4.32,-20.88,1.22
富達退休集成信託,富達「儲蓄易」2040基金,HSBC,混合資產基金 - 未分類混合資產基金,27-10-2008,"1,716.72",5,1.55239,22.06,10.97,4.41,-20.93,1.31
富達退休集成信託,富達「儲蓄易」2045基金,HSBC,混合資產基金 - 未分類混合資產基金,23-11-2015,331.88,5,1.65651,22.03,10.76,4.41,-21.02,1.06
富達退休集成信託,富達「儲蓄易」2050基金,HSBC,混合資產基金 - 未分類混合資產基金,23-11-2015,703.40,5,1.61082,22.54,10.89,4.31,-21.09,1.03
富達退休集成信託,環球股票基金,HSBC,股票基金 - 環球股票基金,02-07-2003,"9,628.18",5,1.51111,17.33,15.28,18.21,-23.83,15.76
富達退休集成信託,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票,01-12-2000,"8,350.67",5,1.53620,20.41,10.05,4.46,-20.72,1.35
富達退休集成信託,香港債券基金,HSBC,債券基金 - 港元債券基金,08-07-2003,"1,325.54",3,1.25571,6.11,3.29,6.56,-10.26,-0.77
富達退休集成信託,香港股票基金,HSBC,股票基金 - 香港股票基金,01-12-2000,"7,291.17",6,1.52060,30.03,16.83,-16.18,-19.03,-15.94
富達退休集成信託,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金,01-12-2000,"7,167.56",1,0.97277,2.08,3.55,3.03,0.08,0.00
富達退休集成信託,退休易基金,HSBC,混合資產基金 - 未分類混合資產基金,01-11-2021,332.07,4,1.30567,9.29,5.17,8.00,-18.92,n.a.
富達退休集成信託,人民幣債券基金,HSBC,債券基金 - 人民幣債券基金,16-05-2016,613.00,3,1.32258,6.39,1.00,1.42,-7.71,1.51
富達退休集成信託,平穩增長基金,HSBC,混合資產基金 - 41% 至 60% 股票,01-12-2000,"4,146.59",4,1.52523,13.28,4.32,4.26,-19.07,-1.25
富達退休集成信託,國際債券基金,HSBC,債券基金 - 環球債券基金,08-07-2003,"1,416.49",4,1.50430,4.49,-3.65,4.30,-18.21,-5.34
海通MPF退休金,海通65歲後基金 - A類別,HSBC,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,4.66,4,0.92894,9.51,6.27,9.02,-15.42,1.88
海通MPF退休金,海通65歲後基金 - T類別,HSBC,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,8.03,4,0.92960,9.51,6.27,9.02,-15.42,1.88
海通MPF退休金,海通亞太基金 - A類別,HSBC,股票基金 - 亞洲股票基金,01-02-2001,27.21,5,1.91753,29.66,13.26,2.77,-22.73,0.86
海通MPF退休金,海通亞太基金 - T類別,HSBC,股票基金 - 亞洲股票基金,01-02-2001,62.47,5,1.86793,29.66,13.37,2.79,-22.70,0.92
海通MPF退休金,海通核心累積基金 - A類別,HSBC,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,44.29,6,0.92544,18.67,15.52,15.83,-21.34,11.59
海通MPF退休金,海通核心累積基金 - T類別,HSBC,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,49.83,6,0.92562,18.65,15.55,15.80,-21.32,11.58
海通MPF退休金,海通環球分散基金 - A類別,HSBC,股票基金 - 環球股票基金,01-02-2001,79.30,6,1.39248,25.16,23.51,21.71,-27.37,20.65
海通MPF退休金,海通環球分散基金 - T類別,HSBC,股票基金 - 環球股票基金,01-02-2001,157.13,6,1.29271,25.29,23.64,21.77,-27.26,20.79
海通MPF退休金,海通香港特區基金 - A類別,HSBC,股票基金 - 香港股票基金,01-02-2001,60.95,4,1.73598,30.82,14.98,-16.33,-15.72,-9.05
海通MPF退休金,海通香港特區基金 - T類別,HSBC,股票基金 - 香港股票基金,01-02-2001,159.49,4,1.65624,30.92,15.09,-16.27,-15.65,-8.98
海通MPF退休金,海通韓國基金 - A類別,HSBC,股票基金 - 未分類股票基金,01-02-2001,11.32,7,1.71456,84.85,-8.23,16.69,-24.30,-1.65
海通MPF退休金,海通韓國基金 - T類別,HSBC,股票基金 - 未分類股票基金,01-02-2001,115.07,7,1.71427,84.79,-8.21,16.68,-24.29,-1.65
海通MPF退休金,海通強積金保守基金 - A類別,HSBC,貨幣市場基金 — 強積金保守基金,01-02-2001,34.62,3,0.94405,2.30,3.58,3.53,0.27,0.09
海通MPF退休金,海通強積金保守基金 - T類別,HSBC,貨幣市場基金 — 強積金保守基金,01-02-2001,75.94,3,0.89323,2.34,3.60,3.55,0.43,0.00
恒生強積金智選計劃,65 歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金,08-10-2009,"2,158.65",4,0.77784,6.28,2.56,7.15,-13.21,1.39
恒生強積金智選計劃,亞太股票基金,HSBC,股票基金 - 亞洲股票基金,01-12-2000,"4,950.79",5,1.49646,23.43,8.43,-1.28,-25.41,-0.49
恒生強積金智選計劃,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票,01-12-2000,"6,701.35",4,1.43436,20.43,7.16,5.51,-14.08,1.21
恒生強積金智選計劃,中國股票基金,HSBC,股票基金 - 中國股票基金,08-10-2009,"3,938.20",6,1.49390,30.43,15.75,-18.15,-25.60,-18.24
恒生強積金智選計劃,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金,01-12-2000,"7,432.01",4,0.77620,14.05,7.92,14.29,-14.53,11.28
恒生強積金智選計劃,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金,01-12-2000,"1,729.93",5,1.33251,30.89,-1.57,17.89,-14.76,15.84
恒生強積金智選計劃,環球債券基金,HSBC,債券基金 - 環球債券基金,08-10-2009,"1,768.38",4,0.82206,5.68,-2.72,4.49,-15.49,-5.84
恒生強積金智選計劃,環球股票基金,HSBC,股票基金 - 環球股票基金,01-07-2019,"1,841.24",5,0.81568,20.64,13.97,22.11,-17.28,21.63
恒生強積金智選計劃,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票,01-12-2000,"10,790.86",5,1.53967,24.97,9.69,5.54,-14.92,2.93
恒生強積金智選計劃,保證基金,HSBC,保證基金,01-12-2000,"3,334.63",3,2.05155,4.30,2.61,2.15,-6.77,-2.78
恒生強積金智選計劃,恒生中國企業指數基金,HSBC,股票基金 - 中國股票基金,01-07-2019,"1,482.71",6,0.88336,25.17,29.67,-11.71,-16.47,-21.99
恒生強積金智選計劃,恒指基金,HSBC,股票基金 - 香港股票基金（追蹤指數）,01-12-2000,"14,306.22",6,0.78119,31.14,21.41,-11.29,-13.10,-12.59
恒生強積金智選計劃,中港股票基金,HSBC,股票基金 - 香港股票基金,01-12-2000,"5,582.36",6,1.48607,33.20,15.11,-14.46,-16.34,-14.49
恒生強積金智選計劃,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金,01-12-2000,"13,588.48",1,0.76782,2.38,3.81,3.72,0.39,0.00
恒生強積金智選計劃,北美股票基金,HSBC,股票基金 - 美國股票基金,01-12-2000,"6,614.69",5,1.31618,14.95,21.31,23.42,-19.04,26.42
恒生強積金智選計劃,平穩基金,HSBC,混合資產基金 - 21% 至 40% 股票,08-10-2009,"1,500.22",4,1.32889,11.08,1.57,4.32,-14.03,-2.60
恒生強積金智選計劃,智優逸亞太股票追蹤指數基金,HSBC,股票基金 - 亞洲股票基金,01-07-2019,"1,336.71",5,0.87194,28.58,10.50,5.80,-16.54,-0.48
恒生強積金智選計劃,智優逸均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票,01-07-2019,464.29,4,0.90872,21.13,8.32,6.89,-15.16,1.11
恒生強積金智選計劃,智優逸歐洲股票追蹤指數基金,HSBC,股票基金 - 歐洲股票基金,01-07-2019,882.72,5,0.85430,29.39,3.28,17.59,-13.68,17.44
恒生強積金智選計劃,智優逸北美股票追蹤指數基金,HSBC,股票基金 - 美國股票基金,01-07-2019,"4,649.70",5,0.81885,16.57,22.40,24.33,-19.81,27.11
滙豐強積金智選計劃,65歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金,08-10-2009,"10,228.93",4,0.77708,6.28,2.56,7.15,-13.21,1.39
滙豐強積金智選計劃,亞太股票基金,HSBC,股票基金 - 亞洲股票基金,01-12-2000,"10,997.33",5,1.49622,23.43,8.43,-1.28,-25.41,-0.49
滙豐強積金智選計劃,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票,01-12-2000,"21,229.09",4,1.43418,20.43,7.16,5.51,-14.08,1.21
滙豐強積金智選計劃,中國股票基金,HSBC,股票基金 - 中國股票基金,08-10-2009,"9,041.91",6,1.49364,30.43,15.75,-18.15,-25.60,-18.24
滙豐強積金智選計劃,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金,01-12-2000,"30,817.52",4,0.77603,14.05,7.92,14.29,-14.53,11.28
滙豐強積金智選計劃,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金,01-12-2000,"4,855.78",5,1.33185,30.89,-1.57,17.89,-14.76,15.84
滙豐強積金智選計劃,環球債券基金,HSBC,債券基金 - 環球債券基金,08-10-2009,"6,642.50",4,0.82135,5.68,-2.72,4.49,-15.49,-5.84
滙豐強積金智選計劃,環球股票基金,HSBC,股票基金 - 環球股票基金,01-07-2019,"8,085.93",5,0.81583,20.64,13.97,22.11,-17.28,21.63
滙豐強積金智選計劃,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票,01-12-2000,"32,774.64",5,1.53957,24.97,9.69,5.54,-14.92,2.93
滙豐強積金智選計劃,保證基金,HSBC,保證基金,01-12-2000,"11,004.10",3,2.05155,4.30,2.61,2.15,-6.77,-2.78
滙豐強積金智選計劃,恒生中國企業指數基金,HSBC,股票基金 - 中國股票基金,01-07-2019,"3,962.33",6,0.88434,25.17,29.67,-11.71,-16.47,-21.99
滙豐強積金智選計劃,恒指基金,HSBC,股票基金 - 香港股票基金（追蹤指數）,01-12-2000,"36,090.46",6,0.78111,31.14,21.41,-11.29,-13.10,-12.59
滙豐強積金智選計劃,中港股票基金,HSBC,股票基金 - 香港股票基金,01-12-2000,"12,323.15",6,1.48591,33.20,15.11,-14.46,-16.34,-14.49
滙豐強積金智選計劃,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金,01-12-2000,"40,195.57",1,0.76764,2.38,3.81,3.72,0.39,0.00
滙豐強積金智選計劃,北美股票基金,HSBC,股票基金 - 美國股票基金,01-12-2000,"21,816.05",5,1.31602,14.95,21.31,23.42,-19.04,26.42
滙豐強積金智選計劃,平穩基金,HSBC,混合資產基金 - 21% 至 40% 股票,08-10-2009,"5,180.24",4,1.32797,11.08,1.57,4.32,-14.03,-2.60
滙豐強積金智選計劃,智優逸亞太股票追蹤指數基金,HSBC,股票基金 - 亞洲股票基金,01-07-2019,"4,415.15",5,0.87284,28.58,10.50,5.80,-16.54,-0.48
滙豐強積金智選計劃,智優逸均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票,01-07-2019,"2,107.15",4,0.90995,21.13,8.32,6.89,-15.16,1.11
滙豐強積金智選計劃,智優逸歐洲股票追蹤指數基金,HSBC,股票基金 - 歐洲股票基金,01-07-2019,"3,110.73",5,0.85491,29.39,3.28,17.59,-13.68,17.44
滙豐強積金智選計劃,智優逸北美股票追蹤指數基金,HSBC,股票基金 - 美國股票基金,01-07-2019,"18,637.06",5,0.81844,16.57,22.40,24.33,-19.81,27.11
宏利環球精選（強積金）計劃,宏利 MPF 2025 退休基金,宏利,混合資產基金 - 未分類混合資產基金,21-02-2011,813.42,4,1.07324,13.99,7.17,5.74,-19.25,1.84
宏利環球精選（強積金）計劃,宏利 MPF 2030 退休基金,宏利,混合資產基金 - 未分類混合資產基金,21-02-2011,"1,499.23",5,1.06336,18.41,9.42,7.42,-21.24,3.57
宏利環球精選（強積金）計劃,宏利 MPF 2035 退休基金,宏利,混合資產基金 - 未分類混合資產基金,21-02-2011,"1,728.84",5,1.05835,21.18,11.15,7.88,-22.23,4.63
宏利環球精選（強積金）計劃,宏利 MPF 2040 退休基金,宏利,混合資產基金 - 未分類混合資產基金,21-02-2011,"1,513.98",5,1.06596,23.90,13.08,7.68,-22.81,5.10
宏利環球精選（強積金）計劃,宏利 MPF 2045 退休基金,宏利,混合資產基金 - 未分類混合資產基金,21-02-2011,"2,636.22",5,1.04687,24.08,13.04,7.76,-22.74,5.26
宏利環球精選（強積金）計劃,宏利 MPF 65歲後基金,宏利,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,"8,993.45",4,0.75640,5.79,3.09,7.16,-14.74,1.05
宏利環球精選（強積金）計劃,宏利 MPF 進取基金,宏利,混合資產基金 - 81% 至 100% 股票,01-12-2000,"31,067.72",5,1.79078,22.01,9.61,8.00,-23.47,4.31
宏利環球精選（強積金）計劃,宏利 MPF 中華威力基金,宏利,股票基金 - 大中華股票基金,01-02-2006,"38,884.63",6,1.97021,37.73,13.34,-8.09,-27.77,-10.44
宏利環球精選（強積金）計劃,宏利 MPF 保守基金,宏利,貨幣市場基金 — 強積金保守基金,01-12-2000,"23,231.91",1,0.76790,2.49,3.76,3.78,0.51,0.01
宏利環球精選（強積金）計劃,宏利 MPF 核心累積基金,宏利,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,"34,919.74",4,0.75345,13.75,9.63,14.23,-16.16,9.79
宏利環球精選（強積金）計劃,宏利 MPF 歐洲股票基金,宏利,股票基金 - 歐洲股票基金,01-12-2000,"7,297.61",6,1.78999,14.83,-2.81,23.66,-31.12,27.29
宏利環球精選（強積金）計劃,宏利 MPF 富達增長基金,宏利,混合資產基金 - 81% 至 100% 股票,01-09-2003,"11,935.65",5,1.79740,20.01,9.70,4.16,-20.90,1.04
宏利環球精選（強積金）計劃,宏利 MPF 富達平穩增長基金,宏利,混合資產基金 - 41% 至 60% 股票,01-09-2003,"7,951.26",4,1.79073,12.90,3.99,3.96,-19.26,-1.57
宏利環球精選（強積金）計劃,宏利 MPF 增長基金,宏利,混合資產基金 - 61% 至 80% 股票,01-12-2000,"22,711.99",5,1.78402,18.43,7.24,6.29,-21.44,2.38
宏利環球精選（強積金）計劃,宏利 MPF 恒指ESG基金,宏利,股票基金 - 香港股票基金（追蹤指數）,23-04-2012,"8,944.91",7,0.92494,31.02,11.13,-13.34,-13.21,-12.64
宏利環球精選（強積金）計劃,宏利 MPF 康健護理基金,宏利,股票基金 - 未分類股票基金,02-04-2008,"49,869.17",5,1.91298,18.28,-1.55,3.95,-6.06,18.86
宏利環球精選（強積金）計劃,宏利 MPF 香港債券基金,宏利,債券基金 - 港元債券基金,01-12-2000,"3,994.60",3,1.17720,6.66,2.60,5.65,-9.46,-1.54
宏利環球精選（強積金）計劃,宏利 MPF 香港股票基金,宏利,股票基金 - 香港股票基金,01-12-2000,"22,405.64",7,1.77859,32.02,14.12,-14.97,-22.39,-15.79
宏利環球精選（強積金）計劃,宏利 MPF 利息基金,宏利,保證基金,01-12-2000,"37,893.40",1,1.76663,0.88,0.88,0.76,0.37,0.50
宏利環球精選（強積金）計劃,宏利 MPF 國際債券基金,宏利,債券基金 - 環球債券基金,01-12-2000,"6,855.97",4,1.17063,5.24,-2.83,5.03,-16.11,-5.05
宏利環球精選（強積金）計劃,宏利 MPF 國際股票基金,宏利,股票基金 - 環球股票基金,01-12-2000,"15,425.29",5,1.77353,15.15,15.06,26.51,-28.29,16.98
宏利環球精選（強積金）計劃,宏利 MPF 日本股票基金,宏利,股票基金 - 日本股票基金,01-12-2000,"10,965.61",4,1.76400,20.77,21.29,24.82,-11.30,9.64
宏利環球精選（強積金）計劃,宏利 MPF 北美股票基金,宏利,股票基金 - 美國股票基金,01-12-2000,"43,946.48",5,1.76261,12.15,21.23,38.69,-31.94,23.04
宏利環球精選（強積金）計劃,宏利 MPF 亞太股票基金,宏利,股票基金 - 亞洲股票基金,01-12-2000,"19,812.07",5,1.81569,23.96,11.80,5.55,-17.17,1.06
宏利環球精選（強積金）計劃,宏利 MPF 退休收益基金,宏利,混合資產基金 - 未分類混合資產基金,21-09-2020,"2,164.89",4,1.35156,7.23,0.19,1.01,-19.68,-2.22
宏利環球精選（強積金）計劃,宏利 MPF 人民幣債券基金,宏利,債券基金 - 人民幣債券基金,16-12-2013,"3,016.19",3,1.19991,7.27,1.37,2.59,-6.01,2.81
宏利環球精選（強積金）計劃,宏利 MPF 智優裕退休基金,宏利,混合資產基金 - 41% 至 60% 股票,21-02-2011,"1,395.39",4,1.06214,13.54,6.06,6.00,-18.74,1.41
宏利環球精選（強積金）計劃,宏利 MPF 穩健基金,宏利,保證基金,01-12-2000,"18,166.69",4,1.77276,10.89,4.64,4.21,-15.23,-1.72
宏利環球精選（強積金）計劃,宏利 MPF 可持續亞太債券基金,宏利,債券基金 - 亞洲債券基金,23-04-2012,"1,775.09",4,1.19787,6.60,1.90,3.20,-10.91,-2.70
宏利退休精選（強積金）計劃,安聯亞洲基金 - 單位A,銀聯信託,股票基金 - 亞洲股票基金,31-08-2004,57.03,5,1.45828,31.53,3.33,2.59,-21.06,-8.90
宏利退休精選（強積金）計劃,安聯亞洲基金 - 單位B,銀聯信託,股票基金 - 亞洲股票基金,04-08-2004,712.22,5,1.25912,31.79,3.54,2.79,-20.90,-8.72
宏利退休精選（強積金）計劃,安聯亞洲基金 - 單位T,銀聯信託,股票基金 - 亞洲股票基金,04-08-2004,824.19,5,1.22903,31.83,3.57,2.83,-20.88,-8.69
宏利退休精選（強積金）計劃,安聯均衡基金 - 單位A,銀聯信託,混合資產基金 - 61% 至 80% 股票,07-02-2001,30.43,4,1.48865,20.54,7.78,4.91,-15.93,1.81
宏利退休精選（強積金）計劃,安聯均衡基金 - 單位B,銀聯信託,混合資產基金 - 61% 至 80% 股票,02-02-2001,470.07,4,1.28960,20.78,8.00,5.12,-15.77,2.02
宏利退休精選（強積金）計劃,安聯均衡基金 - 單位T,銀聯信託,混合資產基金 - 61% 至 80% 股票,08-12-2000,559.81,4,1.25924,20.81,8.03,5.15,-15.74,2.05
宏利退休精選（強積金）計劃,安聯穩定資本基金 - 單位A,銀聯信託,混合資產基金 - 21% 至 40% 股票,07-02-2001,19.38,4,1.48301,11.22,2.00,4.33,-14.63,-1.55
宏利退休精選（強積金）計劃,安聯穩定資本基金 - 單位B,銀聯信託,混合資產基金 - 21% 至 40% 股票,02-02-2001,231.73,4,1.28390,11.45,2.21,4.53,-14.46,-1.35
宏利退休精選（強積金）計劃,安聯穩定資本基金 - 單位T,銀聯信託,混合資產基金 - 21% 至 40% 股票,11-12-2000,229.87,4,1.25383,11.48,2.24,4.57,-14.43,-1.32
宏利退休精選（強積金）計劃,安聯靈活均衡基金 - 單位A,銀聯信託,混合資產基金 - 未分類混合資產基金,31-08-2004,14.20,3,1.44200,8.51,2.97,3.44,-7.39,5.56
宏利退休精選（強積金）計劃,安聯靈活均衡基金 - 單位B,銀聯信託,混合資產基金 - 未分類混合資產基金,09-08-2004,189.88,3,1.24273,8.72,3.18,3.65,-7.20,5.77
宏利退休精選（強積金）計劃,安聯靈活均衡基金 - 單位T,銀聯信託,混合資產基金 - 未分類混合資產基金,09-08-2004,184.65,3,1.21296,8.75,3.21,3.68,-7.18,5.81
宏利退休精選（強積金）計劃,安聯大中華基金 - 單位A,銀聯信託,股票基金 - 大中華股票基金,01-11-2011,20.73,6,1.45942,36.84,12.20,-7.33,-23.10,-10.73
宏利退休精選（強積金）計劃,安聯大中華基金 - 單位B,銀聯信託,股票基金 - 大中華股票基金,04-10-2011,347.23,6,1.25946,37.11,12.43,-7.14,-22.95,-10.55
宏利退休精選（強積金）計劃,安聯大中華基金 - 單位T,銀聯信託,股票基金 - 大中華股票基金,03-10-2011,285.24,6,1.22967,37.15,12.46,-7.12,-22.93,-10.52
