scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
BCT積金之選,BCT亞洲收益退休基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT中國及香港股票基金,銀聯信託,股票基金 - 香港股票基金
BCT積金之選,BCT核心累積基金,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金
BCT積金之選,BCT E30 混合資產基金,銀聯信託,混合資產基金 - 21% 至 40% 股票
BCT積金之選,BCT E50 混合資產基金,銀聯信託,混合資產基金 - 41% 至 60% 股票
BCT積金之選,BCT E70 混合資產基金,銀聯信託,混合資產基金 - 61% 至 80% 股票
BCT積金之選,BCT E90 混合資產基金,銀聯信託,混合資產基金 - 81% 至 100% 股票
BCT積金之選,BCT歐洲股票基金,銀聯信託,股票基金 - 歐洲股票基金
BCT積金之選,BCT靈活混合資產基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT環球債券基金,銀聯信託,債券基金 - 環球債券基金
BCT積金之選,BCT環球股票基金,銀聯信託,股票基金 - 環球股票基金
BCT積金之選,BCT大中華股票基金,銀聯信託,股票基金 - 大中華股票基金
BCT積金之選,BCT恒指基金,銀聯信託,股票基金 - 香港股票基金（追蹤指數）
BCT積金之選,BCT港元債券基金,銀聯信託,債券基金 - 港元債券基金
BCT積金之選,BCT強積金保守基金,銀聯信託,貨幣市場基金 — 強積金保守基金
BCT積金之選,BCT人民幣債券基金,銀聯信託,債券基金 - 人民幣債券基金
BCT積金之選,BCT儲蓄易2025 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT儲蓄易2030 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT儲蓄易2035 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT儲蓄易2040 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT儲蓄易2045 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT儲蓄易2050 基金,銀聯信託,混合資產基金 - 未分類混合資產基金
BCT積金之選,BCT美國股票基金,銀聯信託,股票基金 - 美國股票基金
BCT積金之選,BCT世界股票基金,銀聯信託,股票基金 - 環球股票基金
BCT強積金策略計劃,景順65歲後基金 - 單位類別A,銀聯信託,混合資產基金 - 預設投資策略-65歲後基金
BCT強積金策略計劃,景順65歲後基金 - 單位類別H,銀聯信託,混合資產基金 - 預設投資策略-65歲後基金
BCT強積金策略計劃,景順亞洲股票基金 - 單位類別A,銀聯信託,股票基金 - 亞洲股票基金
BCT強積金策略計劃,景順亞洲股票基金 - 單位類別H,銀聯信託,股票基金 - 亞洲股票基金
BCT強積金策略計劃,景順均衡基金 - 單位類別A,銀聯信託,混合資產基金 - 61% 至 80% 股票
BCT強積金策略計劃,景順均衡基金 - 單位類別H,銀聯信託,混合資產基金 - 61% 至 80% 股票
BCT強積金策略計劃,景順資本穩定基金 - 單位類別A,銀聯信託,混合資產基金 - 21% 至 40% 股票
BCT強積金策略計劃,景順資本穩定基金 - 單位類別H,銀聯信託,混合資產基金 - 21% 至 40% 股票
BCT強積金策略計劃,景順核心累積基金 - 單位類別A,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金
BCT強積金策略計劃,景順核心累積基金 - 單位類別H,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金
BCT強積金策略計劃,景順環球債券基金 - 單位類別A,銀聯信託,債券基金 - 環球債券基金
BCT強積金策略計劃,景順環球債券基金 - 單位類別H,銀聯信託,債券基金 - 環球債券基金
BCT強積金策略計劃,景順環球追蹤指數基金 - 單位類別A,銀聯信託,股票基金 - 環球股票基金
BCT強積金策略計劃,景順環球追蹤指數基金 - 單位類別H,銀聯信託,股票基金 - 環球股票基金
BCT強積金策略計劃,景順增長基金 - 單位類別A,銀聯信託,股票基金 - 環球股票基金
BCT強積金策略計劃,景順增長基金 - 單位類別H,銀聯信託,股票基金 - 環球股票基金
BCT強積金策略計劃,景順恒指基金 - 單位類別A,銀聯信託,股票基金 - 香港股票基金（追蹤指數）
BCT強積金策略計劃,景順恒指基金 - 單位類別H,銀聯信託,股票基金 - 香港股票基金（追蹤指數）
BCT強積金策略計劃,景順中港股票基金 - 單位類別A,銀聯信託,股票基金 - 香港股票基金
BCT強積金策略計劃,景順中港股票基金 - 單位類別H,銀聯信託,股票基金 - 香港股票基金
BCT強積金策略計劃,景順強積金保守基金 - 單位類別A,銀聯信託,貨幣市場基金 — 強積金保守基金
BCT強積金策略計劃,景順強積金保守基金 - 單位類別H,銀聯信託,貨幣市場基金 — 強積金保守基金
BCT強積金策略計劃,景順人民幣債券基金 - 單位類別A,銀聯信託,債券基金 - 人民幣債券基金
BCT強積金策略計劃,景順人民幣債券基金 - 單位類別H,銀聯信託,債券基金 - 人民幣債券基金
BCT強積金策略計劃,景順美國追蹤指數基金 - 單位類別A,銀聯信託,股票基金 - 美國股票基金
BCT強積金策略計劃,景順美國追蹤指數基金 - 單位類別H,銀聯信託,股票基金 - 美國股票基金
東亞（強積金）行業計劃,東亞 (行業計劃) 65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金
東亞（強積金）行業計劃,東亞 (行業計劃) 亞洲股票基金,東亞,股票基金 - 亞洲股票基金
東亞（強積金）行業計劃,東亞 (行業計劃) 均衡基金,東亞,混合資產基金 - 41% 至 60% 股票
東亞（強積金）行業計劃,東亞 (行業計劃) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金
東亞（強積金）行業計劃,東亞 (行業計劃) 大中華股票基金,東亞,股票基金 - 大中華股票基金
東亞（強積金）行業計劃,東亞 (行業計劃) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票
東亞（強積金）行業計劃,東亞 (行業計劃) 香港股票基金,東亞,股票基金 - 香港股票基金
東亞（強積金）行業計劃,東亞 (行業計劃) 強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金
東亞（強積金）行業計劃,東亞 (行業計劃) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金
東亞（強積金）行業計劃,東亞 (行業計劃) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票
東亞（強積金）行業計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金
東亞（強積金）行業計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）
東亞（強積金）集成信託計劃,東亞 (強積金) 65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金
東亞（強積金）集成信託計劃,東亞(強積金)亞洲股票基金,東亞,股票基金 - 亞洲股票基金
東亞（強積金）集成信託計劃,東亞 (強積金) 均衡基金,東亞,混合資產基金 - 41% 至 60% 股票
