source_file,snapshot_date,month_label,note_code,language,text
consolidated_list_for_apr_21_read_only.xls,2021-04-30,April 2021,5,zh,透過扣除成員帳戶中的單位收費的強積金保守基金：
consolidated_list_for_apr_21_read_only.xls,2021-04-30,April 2021,5,en,Fees and charges of MPF Conservative Funds can be deducted from either (i) the assets of the fund or (ii) members' account by way of unit deduction.
consolidated_list_for_apr_21_read_only.xls,2021-04-30,April 2021,5,en,"This fund uses method (ii) and, therefore, unit prices / NAV / fund performance quoted (except for the fund performance figures quoted in a fund fact sheet) do not reflect the impact of fees and charges."
consolidated_list_for_apr_21_read_only.xls,2021-04-30,April 2021,5,zh,強積金保守基金的收費可 (一) 透過扣除資產淨值收取；或 (二) 透過扣除成員帳戶中的單位收取。
consolidated_list_for_apr_21_read_only.xls,2021-04-30,April 2021,5,zh,本基金採用方式 (二) 收費，故所列之單位價格 / 資產淨值 / 基金表現 (基金便覽所列的基金表現數字除外) 並未反映收費之影響。
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,1,en,This is a non-unitized guaranteed fund.
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,1,zh,這是非單位化的保證基金。
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,2,en,"This is a weekly dealing fund, the price shown is as of the last dealing day of the month which may not be the date shown in the heading."
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,2,zh,這是每週交易的基金，所載價格為該月份最後交易日的價格，這可能並非標題所示的日期。
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3,en,Basis of unit price:
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3,zh,單位價格的基礎:
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3a,en,Net asset value per unit
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3a,zh,每單位淨資產值
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3b,en,Bid price
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3b,zh,買入價格
consolidated_list_for_apr_22_read_only.xls,2022-04-29,April 2022,3c,en,Offer price
