source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.2246,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,299.46,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,118.9,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,347.9,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,250.73,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,216.36,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,118.45,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.4601,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,197.94,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,287.01,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Capital Stable Fund,富達穩定資本基金,137.55,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Growth Fund,富達增長基金,183.95,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Stable Growth Fund,富達穩定增長基金,160.78,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,135.63,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,340.43,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,249.85,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,323.86,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,164.24,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,219.76,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,114.33,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,352.39,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,192.3,,,3a,"4b, 4d"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,1.2314,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Asian Equity Fund,BCT（行業）亞洲股票基金,4.4611,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Core Accumulation Fund,BCT（行業）核心累積基金,1.4368,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E30 Mixed Asset Fund,BCT（行業）E30 混合資產基金,2.1925,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E50 Mixed Asset Fund,BCT（行業）E50 混合資產基金,2.3868,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E70 Mixed Asset Fund,BCT（行業）E70 混合資產基金,2.5201,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Flexi Mixed Asset Fund,BCT（行業）靈活混合資產基金,1.7368,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Bond Fund,BCT（行業）環球債券基金,1.4735,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Equity Fund,BCT（行業）環球股票基金,3.6325,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Hong Kong Equity Fund,BCT（行業）香港股票基金,4.8464,,,3a,"4b, 4e"
consolidated_list_for_aug_21_read_only.xls,2021-08-31,August 2021,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) MPF Conservative Fund,BCT（行業）強積金保守基金,1.1401,,,3a,"4b, 4e"
