source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.106,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,275.63,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,108.6,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,308.51,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,218.65,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,190.83,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,101.9,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.3209,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,172.43,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,254.6,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Capital Stable Fund,富達穩定資本基金,118.6,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Growth Fund,富達增長基金,154.1,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Stable Growth Fund,富達穩定增長基金,136.98,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,114.21,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,272.58,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,224.74,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,279.59,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,136.99,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,190.89,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,114.42,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,330.62,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,173.52,,,3a,"4b, 4d"
consolidated_list_for_may_22_read_only.xls,2022-05-31,May 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,1.1,,,3a,"4b, 4e"
