source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.19,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,299.08,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,113.7,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,325.3,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,238.45,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,206.69,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,111.43,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.4228,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,186.03,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,276.17,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Capital Stable Fund,富達穩定資本基金,130.4,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Growth Fund,富達增長基金,172.09,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Stable Growth Fund,富達穩定增長基金,151.55,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,127.78,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,306.76,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,242.85,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,305.66,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,152.16,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,209.41,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,114.38,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,354.89,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,187.81,,,3a,"4b, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,1.189,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Asian Equity Fund,BCT（行業）亞洲股票基金,4.2059,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Core Accumulation Fund,BCT（行業）核心累積基金,1.3953,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E30 Mixed Asset Fund,BCT（行業）E30 混合資產基金,2.0806,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E50 Mixed Asset Fund,BCT（行業）E50 混合資產基金,2.2523,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E70 Mixed Asset Fund,BCT（行業）E70 混合資產基金,2.3647,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Flexi Mixed Asset Fund,BCT（行業）靈活混合資產基金,1.7108,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Bond Fund,BCT（行業）環球債券基金,1.4148,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Equity Fund,BCT（行業）環球股票基金,3.4068,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Hong Kong Equity Fund,BCT（行業）香港股票基金,4.3663,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) MPF Conservative Fund,BCT（行業）強積金保守基金,1.1401,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) RMB Bond Fund,BCT（行業）人民幣債券基金,1.0719,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Age 65 Plus Fund,BCT 65歲後基金,1.1908,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Asian Equity Fund,BCT亞洲股票基金,4.2544,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) China & Hong Kong Equity Fund,BCT中國及香港股票基金,1.1538,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Core Accumulation Fund,BCT 核心累積基金,1.4103,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) E30 Mixed Asset Fund,BCT E30混合資產基金,1.9772,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) E50 Mixed Asset Fund,BCT E50混合資產基金,2.2727,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) E70 Mixed Asset Fund,BCT E70混合資產基金,2.4642,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) E90 Mixed Asset Fund,BCT E90混合資產基金,2.6336,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) European Equity Fund,BCT歐洲股票基金,1.4327,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Flexi Mixed Asset Fund,BCT 靈活混合資產基金,1.7954,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Global Bond Fund,BCT環球債券基金,1.6094,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Global Equity Fund,BCT環球股票基金,3.9225,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Greater China Equity Fund,BCT大中華股票基金,1.7773,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Hang Seng Index Tracking Fund,BCT恒指基金,1.4634,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) Hong Kong Dollar Bond Fund,BCT港元債券基金,1.2412,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) MPF Conservative Fund,BCT強積金保守基金,1.1511,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) RMB Bond Fund,BCT人民幣債券基金,1.0688,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2020 Fund,BCT儲蓄易2020基金,2.5767,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2025 Fund,BCT儲蓄易2025基金,2.8506,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2030 Fund,BCT儲蓄易2030基金,2.8627,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2035 Fund,BCT儲蓄易2035基金,2.8404,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2040 Fund,BCT儲蓄易2040基金,2.9379,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2045 Fund,BCT儲蓄易2045基金,0.9717,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) SaveEasy 2050 Fund,BCT儲蓄易2050基金,0.9758,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) U.S. Equity Fund,BCT 美國股票基金,0.9551,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Pro Choice,BCT 積金之選,BCT (Pro) World Equity Fund,BCT 世界股票基金,2.3883,,,3a,"4b, 4e"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Age 65 Plus Fund - Unit Class A,65歲後基金 - 單位類別 A,11.9085,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Age 65 Plus Fund - Unit Class H,65歲後基金 - 單位類別 H,11.9085,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Asian Equity Fund - Unit Class A,亞洲股票基金 - 單位類別 A,13.0546,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Asian Equity Fund - Unit Class H,亞洲股票基金 - 單位類別 H,12.9534,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Balanced Fund - Unit Class A,均衡基金 - 單位類別 A,24.7648,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Balanced Fund - Unit Class H,均衡基金 - 單位類別 H,26.1732,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Capital Stable Fund - Unit Class A,資本穩定基金 - 單位類別 A,21.9424,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Capital Stable Fund - Unit Class H,資本穩定基金 - 單位類別 H,22.74,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Core Accumulation Fund - Unit Class A,核心累積基金 - 單位類別 A,14.1863,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Core Accumulation Fund - Unit Class H,核心累積基金 - 單位類別 H,14.1863,,,3a,"4a, 4c, 4d"
consolidated_list_for_jan_22_read_only.xls,2022-01-31,January 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,Invesco Strategic MPF Scheme,景順強積金策略計劃,Global Bond Fund - Unit Class A,環球債券基金 - 單位類別 A,15.8886,,,3a,"4a, 4c, 4d"
