source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.1512,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,373.61,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,113.28,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,346.71,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,225.95,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,195.72,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,92.45,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.5435,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,201.54,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,330.29,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,112.69,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,242.74,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,294.97,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,306.06,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,125.51,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,198.67,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,121.36,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,441.56,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,223.15,,,3a,"4b, 4d"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,1.1677,,,3a,"4b, 4e"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Asian Equity Fund,BCT（行業）亞洲股票基金,3.8164,,,3a,"4b, 4e"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Core Accumulation Fund,BCT（行業）核心累積基金,1.5484,,,3a,"4b, 4e"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E30 Mixed Asset Fund,BCT（行業）E30 混合資產基金,1.9801,,,3a,"4b, 4e"
consolidated_list_for_aug_24_read_only.xls,2024-08-30,August 2024,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E50 Mixed Asset Fund,BCT（行業）E50 混合資產基金,2.1539,,,3a,"4b, 4e"
